Espa�ol,N�huatl
voy,nioj
te vas,tioj
va,yaui
vamos,tiauej
ustedes van,nonyauej
ellos van,yauej
pueblo,altepetl
mercado,xolal
bosque,kuajtla
tienes,kipia
nosotros tenemos,tikpiaj
ustedes tienen,nonkipiaj
ellos tienen,kipiaj
frijoles en caldo,yemol
mole,moli
mole colorado,chilmol
mole de guajolote,totolmol
caldo,tsilakayojtl
hongo,nanakatl
tlatlapa,yetlatlapa
huazontli,kilkuajtsontli
gato,miston
perro,itskuintli
perro,chichi
víbora,koatl
guajolote,uexolotl
pollito,piopiotsin
rata,tetsa
pez,michin
lagartija,topi
conejo,tochtli
ardilla,techalotl
tecolote,tekolotl
rana,kalatl
araña,tokatl
ajolote,axolotl
laco,nitlapaka
yo muelo,nitesi
cocino,nitlakualchiua
cocinera,tlakualchijk
sacerdote,teopixk
cortador de leña,kuajtejk
vendedor de leña,kuajnemakajk
tejedor,tlajkitk
tortillera,tlaxkalchijk
uno,se
dos,ome
tres,yeyi
cuatro,naul
cinco,makuil
seis,chikuase
siete,chikome
ocho,chikueyi
nueve,chiknaui
diez,majtlaktl
once,majtlaktl uan se
doce,majtlaktl uan ome
trece,majtlakfl uan yeyi
catorce,majtlaktl uan naui
nos perseguiamos,otimotokatinemiaj
caminamos,otinejnenkej
paseabamos,otipaxaloayaj
trabajaste,oritekit
trabajabas,oritekitia
trabajabamos,oritekitiaj
vinimos atrabajar,oritekitikoj
hubieras trabajado,oritekitini
hubieramos trabajado,oritekitinij
fuiste atrabajar,oritekitito
fuimos atrabajar,oritekititoj
trabajamos,oritekitkej
subiamos,otitlejkoyaj
corriamos,ottisikuiniaj
estábamos,otieyaj
usted lo hizo,oitkonchij
temblo,otialolin
fueron a desgerbar,otlaxijjuanatoj
fue a revisar,otlayeualoto
solo,san
lo que sea,saso
hacer tamales,tamachlualis
tamales,tamatistiisn
los esperamos,tamechonchia
ardillas,techalom ej
ardilla,techaloti
nos lo compran,techkouillaj
nos dará usted,technmakas
nos gusta,techpaktia
ayudennos,techpaleuikan
nos lo trajo,techualikilij
usted,tejjuatsin
nosotros,tejjuan
dar trabajo,tekimakiils
trabajo,tekiti
trabajan,tekitij
nuestra niña,tochpopokatsin
nuestro solar,tokalal
plática de siembra,tokistlanonotsalis
nuestros pies,tokxiuaj
tomasa,tomasajtsin
nuestra milpa,tomil
dinero,tomin
hace calor,tona
nuestra carne/nuestro cuerpo,tonakayo
nombres de nuestro cuerpo,tonakayojilajfol
dia,tonal
usted hace,tonayi
descansará,tonnoseuis
va a moler usted,tonnotexilitij
me llevará usted,tonnechonukas
anda paseando,tonpaxalotinemi
usted trabaja,tontekiti
usted trabajará,tontekitis
usted muele,tontesi
usted dará de comer,tontetlamakas
usted hará la comida,tontlakualchiuas
loiremos a ver,tikitätluej
tüle sacas algo,tikkixtilla
lo sacaremos,tikkixtiskej
lo compraremos,tikkouaskej
lo comes,tikkua
lo comes (rev.),tikmajseua
le apuras,tikmakilia
le apuramos,tikmakiliaj
te lo untas,tikmoijchikilia
irás a comprar algo para ti,tikmokouttij
cuidas algo,tikmokuitiaulila
te pones algo,tikmotialilia
juntas algo,tiknechikoaj
juntaremos algo,tiknechikoskej
iremos a juntar algo,tiknechikotiuej
quieres,tikneki
querrás,tiknekis
vendes,tiknemaka
iremos a vender,tiknemakatiuej
lo moveremos,tikoliniskej
usted hace algo,tikonchiua
usted celebrará algo,tikonliukixtis
usted les echa agua,tikoninatekia
usted los cura,tikoninpajtia
usted los baña,tikonmaltis
usted sabe,tikonmatis
usted lo va cargando,tikonmenegitij
usted comprará,tikonmokouis
usted quiere,tikonneki
usted querrá,tikonnekis
usted vende,tikonnemaka
usted beberá,tikonomis
usted lo cura,tikonpajtia
usted tiene,tikonpia
usted lo busca,tikontemoa
usted los anda buscando,tikontemojiinemi
usted lo pondrá,tikontlalis
usted le prenderá fuego,tikontlatlatis
usted lo paga,tikontlaxtlaua
usted le llevará,tikonulkilis
loiremos a hacer volar,tikpatlanaltitiuej
tendremosi,tikplaskej
lo limpias,tikpojpoa
lo limpiamos,tikpojpoaj
lo limpiaremos,tikpojpouaskej
lo acarrearemos,tiksasakaskej
lo mediremos,tiktamachluakaj
le buscamos,tiktejiemolia
le echas,tiktekilia
das,tiktemaka
lo busquemos,tiktemokaj
lo iremos a buscar,tiktemotiuej
lo pones,tiktialia
lo pondremos,tiktialiskej
lo calientas,tiktotonia
lo cerraremos,tiktsakuaskej
lo traeremos,tikualikaskej
lo vendremos cargando,tikualmemejtaskej
subiremos a los árboles,tikuaujfiejkoskej
lo llevaremos,tikuikaskej
la hojearemos,tikxiuiskej
lo lavamos bien,tikyekpakaj
jugaras,timaulitis
jugaremos,timaulitiskej
iremos a jugar,timaulititiuej
usted bailará,timijtotis
bailaremos,timijtotiskej
te esperamos,timitschiaj
lo esperamos a usted,timitsonchiaj
te iremos a ayudar,timitspalevittuej
te sientes,timomachilla
nos tomaremos de las manos,timomakitskiskej
daremos una vuelta,timomalakachoskej
nos reencontraremos (saludo),timomatij
nos encontramos,timonamikij
nos reuniremos,timonechikoskej
descansaremos,timoseviskek
nos vemos,timotaj
te llamas,timotoka
nos columparemos,timouyoniskej
me hará algo,tinechonchijchiullis
me da usted,tinechonmaka
me avisa usted,tinechonnauatia
me venderá usted algo,tinechonnemakiltis
me ayudará,tinechonpalevis
me complacerá,tinechontlakamatis
me ayudarás,tinechpalevis
todos nosotros,tinochtin
trabajaremos,titekitiskej
iniciaremos,tipeuaskej
pixcaremos,tipixkaskej
cortaremos la mazorca,tisentekiskej
trabajas,titektii
trabajamos,titektij
vendrás a trabajar aquí,titektikij
vendremos a trabajar aquí,titektikluej
tu trabajarás,titektis
irás a trabajar,titektitij
iremos a trabajar,titektitiluej
comerás,tiliakuas
comeremos,tiliakuaskej
iremos a vender,tilianemakatluej
estás triste,tiliaokoya
aprenderás,tiliasalos
cortaremos,tiliatetekiskej
ganaremos,tiliatlaniskej
sembraremos,titokaskej
podrás,tiuelltis
vendremos,tiulisej
iremos a buscar duraznos,tixokotemotluej
tarde,tlajkaj
medio,tlajko
saludo,tlajpalolisti
cana seca,tlajsol
gramatica,tlajtoichiualisti
hombre,tlakati
